Freq.	V(n001)	V(n002)
9.12010839355913e+002	(2.15836192886206e+001dB,2.16469774329315e-003°)	(9.31302753688203e+001dB,9.09377311328631e+001°)
9.54992586021440e+002	(2.15836197646717e+001dB,2.06731975055544e-003°)	(9.27303794917292e+001dB,9.08947851689030e+001°)
1.00000000000000e+003	(2.15836201988554e+001dB,1.97431811000925e-003°)	(9.23304744535745e+001dB,9.08537358925761e+001°)
1.04712854805090e+003	(2.15836205948521e+001dB,1.88549667613712e-003°)	(9.19305610599145e+001dB,9.08144963969128e+001°)
1.09647819614319e+003	(2.15836209560191e+001dB,1.80066802533925e-003°)	(9.15306400454742e+001dB,9.07769835925716e+001°)
1.14815362149689e+003	(2.15836212854188e+001dB,1.71965307705424e-003°)	(9.11307120803663e+001dB,9.07411180343242e+001°)
1.20226443461742e+003	(2.15836215858444e+001dB,1.64228073017160e-003°)	(9.07307777757657e+001dB,9.07068237549180e+001°)
1.25892541179417e+003	(2.15836218598437e+001dB,1.56838751427415e-003°)	(9.03308376890874e+001dB,9.06740281060096e+001°)
1.31825673855641e+003	(2.15836221097406e+001dB,1.49781725524040e-003°)	(8.99308923287080e+001dB,9.06426616058722e+001°)
1.38038426460289e+003	(2.15836223376548e+001dB,1.43042075473252e-003°)	(8.95309421582746e+001dB,9.06126577935856e+001°)
1.44543977074593e+003	(2.15836225455195e+001dB,1.36605548309495e-003°)	(8.91309876006332e+001dB,9.05839530894325e+001°)
1.51356124843622e+003	(2.15836227350982e+001dB,1.30458528519062e-003°)	(8.87310290414137e+001dB,9.05564866612292e+001°)
1.58489319246112e+003	(2.15836229079992e+001dB,1.24588009870660e-003°)	(8.83310668322985e+001dB,9.05302002963310e+001°)
1.65958690743757e+003	(2.15836230656894e+001dB,1.18981568446678e-003°)	(8.79311012940043e+001dB,9.05050382790593e+001°)
1.73780082874938e+003	(2.15836232095067e+001dB,1.13627336829804e-003°)	(8.75311327190018e+001dB,9.04809472733089e+001°)
1.81970085860999e+003	(2.15836233406715e+001dB,1.08513979400497e-003°)	(8.71311613739958e+001dB,9.04578762101013e+001°)
1.90546071796326e+003	(2.15836234602967e+001dB,1.03630668701887e-003°)	(8.67311875021870e+001dB,9.04357761798582e+001°)
