v2	I(R2)
0.000000000000000e+000	-3.653452e-005
1.000000000000000e-002	2.167279e-005
2.000000000000000e-002	8.317065e-005
3.000000000000000e-002	1.475911e-004
4.000000000000000e-002	2.145762e-004
5.000000000000000e-002	2.838221e-004
6.000000000000001e-002	3.550649e-004
7.000000000000001e-002	4.280758e-004
8.000000000000000e-002	5.026569e-004
9.000000000000000e-002	5.786374e-004
9.999999999999999e-002	6.558694e-004
1.100000000000000e-001	7.342244e-004
1.200000000000000e-001	8.135912e-004
1.300000000000000e-001	8.938720e-004
1.400000000000000e-001	9.749818e-004
1.500000000000000e-001	1.056845e-003
1.600000000000000e-001	1.139397e-003
1.700000000000000e-001	1.222578e-003
1.800000000000000e-001	1.306336e-003
1.900000000000000e-001	1.390625e-003
2.000000000000000e-001	1.475404e-003
2.100000000000001e-001	1.560636e-003
2.200000000000001e-001	1.646286e-003
2.300000000000001e-001	1.732325e-003
2.400000000000001e-001	1.818725e-003
2.500000000000001e-001	1.905463e-003
2.600000000000001e-001	1.992514e-003
2.700000000000001e-001	2.079859e-003
2.800000000000001e-001	2.167478e-003
2.900000000000001e-001	2.255354e-003
3.000000000000001e-001	2.343472e-003
3.100000000000001e-001	2.431816e-003
3.200000000000001e-001	2.520374e-003
3.300000000000001e-001	2.609132e-003
3.400000000000001e-001	2.698079e-003
3.500000000000001e-001	2.787204e-003
3.600000000000002e-001	2.876497e-003
3.700000000000002e-001	2.965949e-003
3.800000000000002e-001	3.055551e-003
3.900000000000002e-001	3.145294e-003
4.000000000000002e-001	3.235172e-003
4.100000000000002e-001	3.325176e-003
4.200000000000002e-001	3.415301e-003
4.300000000000002e-001	3.505538e-003
4.400000000000002e-001	3.595884e-003
4.500000000000002e-001	3.686331e-003
4.600000000000002e-001	3.776875e-003
4.700000000000003e-001	3.867510e-003
4.800000000000003e-001	3.958231e-003
4.900000000000003e-001	4.049034e-003
5.000000000000002e-001	4.139914e-003
5.100000000000002e-001	4.230868e-003
5.200000000000002e-001	4.321890e-003
5.300000000000003e-001	4.412977e-003
5.400000000000003e-001	4.504126e-003
5.500000000000003e-001	4.595333e-003
5.600000000000003e-001	4.686594e-003
5.700000000000003e-001	4.777906e-003
5.800000000000003e-001	4.869267e-003
5.900000000000003e-001	4.960672e-003
6.000000000000003e-001	5.052119e-003
6.100000000000003e-001	5.143605e-003
6.200000000000003e-001	5.235127e-003
6.300000000000003e-001	5.326682e-003
6.400000000000004e-001	5.418268e-003
6.500000000000004e-001	5.509882e-003
6.600000000000004e-001	5.601522e-003
6.700000000000004e-001	5.693185e-003
6.800000000000004e-001	5.784868e-003
6.900000000000004e-001	5.876570e-003
7.000000000000004e-001	5.968288e-003
7.100000000000004e-001	6.060019e-003
7.200000000000004e-001	6.151761e-003
7.300000000000004e-001	6.243512e-003
7.400000000000004e-001	6.335269e-003
7.500000000000004e-001	6.427031e-003
7.600000000000005e-001	6.518795e-003
7.700000000000005e-001	6.610559e-003
7.800000000000005e-001	6.702321e-003
7.900000000000005e-001	6.794077e-003
8.000000000000005e-001	6.885827e-003
8.100000000000005e-001	6.977567e-003
8.200000000000005e-001	7.069297e-003
8.300000000000005e-001	7.161012e-003
8.400000000000005e-001	7.252711e-003
8.500000000000005e-001	7.344392e-003
8.600000000000005e-001	7.436051e-003
8.700000000000006e-001	7.527688e-003
8.800000000000006e-001	7.619298e-003
8.900000000000006e-001	7.710881e-003
9.000000000000006e-001	7.802432e-003
9.100000000000006e-001	7.893950e-003
9.200000000000006e-001	7.985432e-003
9.300000000000006e-001	8.076875e-003
9.400000000000006e-001	8.168275e-003
9.500000000000006e-001	8.259632e-003
9.600000000000006e-001	8.350939e-003
9.700000000000006e-001	8.442197e-003
9.800000000000007e-001	8.533400e-003
9.900000000000007e-001	8.624546e-003
1.000000000000001e+000	8.715631e-003
1.010000000000001e+000	8.806651e-003
1.020000000000001e+000	8.897603e-003
1.030000000000001e+000	8.988482e-003
1.040000000000001e+000	9.079285e-003
1.050000000000001e+000	9.170007e-003
1.060000000000001e+000	9.260644e-003
1.070000000000001e+000	9.351191e-003
1.080000000000001e+000	9.441643e-003
1.090000000000001e+000	9.531995e-003
1.100000000000001e+000	9.622241e-003
1.110000000000001e+000	9.712377e-003
1.120000000000001e+000	9.802395e-003
1.130000000000001e+000	9.892289e-003
1.140000000000001e+000	9.982051e-003
1.150000000000001e+000	1.007168e-002
1.160000000000001e+000	1.016115e-002
1.170000000000001e+000	1.025048e-002
1.180000000000001e+000	1.033964e-002
1.190000000000001e+000	1.042863e-002
1.200000000000001e+000	1.051743e-002
1.210000000000001e+000	1.060605e-002
1.220000000000001e+000	1.069445e-002
1.230000000000001e+000	1.078264e-002
1.240000000000001e+000	1.087060e-002
1.250000000000001e+000	1.095831e-002
1.260000000000001e+000	1.104576e-002
1.270000000000001e+000	1.113293e-002
1.280000000000001e+000	1.121980e-002
1.290000000000001e+000	1.130635e-002
1.300000000000001e+000	1.139257e-002
1.310000000000001e+000	1.147841e-002
1.320000000000001e+000	1.156386e-002
1.330000000000001e+000	1.164889e-002
1.340000000000001e+000	1.173347e-002
1.350000000000001e+000	1.181755e-002
1.360000000000001e+000	1.190110e-002
1.370000000000001e+000	1.198407e-002
1.380000000000001e+000	1.206641e-002
1.390000000000001e+000	1.214807e-002
1.400000000000001e+000	1.222898e-002
