Freq.	V(n001)	V(n003)
2.51188643150959e+003	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-9.70027081351240e+000dB,6.72811526100199e+001°)
3.16227766016839e+003	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-7.98946813758695e+000dB,6.19470650017345e+001°)
3.98107170553498e+003	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-6.41319846275634e+000dB,5.56763601446359e+001°)
5.01187233627273e+003	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-5.01339896281311e+000dB,4.85114408168149e+001°)
6.30957344480195e+003	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-3.82863834619551e+000dB,4.05988339221558e+001°)
7.94328234724283e+003	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-2.88458214187101e+000dB,3.21711022532535e+001°)
1.00000000000000e+004	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-2.18774601030571e+000dB,2.34844003636155e+001°)
1.25892541179417e+004	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-1.72737696374478e+000dB,1.47397099263098e+001°)
1.58489319246112e+004	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-1.48497627042676e+000dB,6.03339718270004e+000°)
1.99526231496889e+004	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-1.44593760429124e+000dB,-2.63776407381856e+000°)
2.51188643150959e+004	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-1.60754348064351e+000dB,-1.13257678202981e+001°)
3.16227766016839e+004	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-1.98036877963801e+000dB,-2.00607130786439e+001°)
3.98107170553498e+004	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-2.58267591763033e+000dB,-2.87888233817171e+001°)
5.01187233627274e+004	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-3.42965001909108e+000dB,-3.73470176339807e+001°)
6.30957344480195e+004	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-4.52226248257685e+000dB,-4.54920183267488e+001°)
7.94328234724284e+004	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-5.84198122566041e+000dB,-5.29727074495645e+001°)
1.00000000000000e+005	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-7.35419456344563e+000dB,-5.96040820208876e+001°)
1.25892541179417e+005	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-9.01719011294101e+000dB,-6.53037118826990e+001°)
1.58489319246112e+005	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-1.07909226061812e+001dB,-7.00843818925168e+001°)
1.99526231496889e+005	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-1.26421162361241e+001dB,-7.40229606952933e+001°)
2.51188643150959e+005	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-1.45456437439915e+001dB,-7.72273808076035e+001°)
3.16227766016839e+005	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-1.64836971348575e+001dB,-7.98125615322598e+001°)
3.98107170553499e+005	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-1.84441699088414e+001dB,-8.18865976802049e+001°)
5.01187233627274e+005	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-2.04190507462263e+001dB,-8.35445606628814e+001°)
6.30957344480196e+005	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-2.24031294274123e+001dB,-8.48668521916344e+001°)
7.94328234724285e+005	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-2.43930547895984e+001dB,-8.59198747580064e+001°)
1.00000000000000e+006	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-2.63866865354920e+001dB,-8.67576745522983e+001°)
